Wavelength (microns),Irradiance (Watts/m^2/micron)
0.905,8927000.0
0.907,8906000.0
0.909,8613000.0
0.911,8703000.0
0.913,8763000.0
0.915,8662000.0
0.917,8591000.0
0.919,8580000.0
0.921,8302000.000000001
0.923,8212999.999999999
0.925,8252999.999999999
0.927,8284000.0
0.929,8325000.0
0.931,8258000.0
0.933,8320000.000000001
0.935,8177000.000000001
0.937,8016000.0
0.939,8079999.999999999
0.941,8000000.0
0.943,7842000.0
0.945,7988000.0
0.947,7929999.999999999
0.949,7767999.999999999
0.951,7782000.0
0.953,7709999.999999999
0.955,7600000.0
0.957,7735000.0
0.959,7707000.000000001
0.961,7671000.0
0.963,7666000.000000001
0.965,7643000.0
0.967,7574000.0
0.969,7759999.999999999
0.971,7627000.0
0.973,7642000.0
0.975,7503000.0
0.977,7679000.0
0.979,7682000.0
0.981,7617999.999999999
0.983,7665000.0
0.985,7713000.0
0.987,7557999.999999999
0.989,7666000.000000001
0.991,7636000.000000001
0.993,7546000.000000001
0.995,7563000.0
0.997,7430000.0
0.999,7433999.999999999
1.0025,7450000.0
1.0075,7367999.999999999
1.0125,7336000.0
1.0175,7209000.0
1.0225,7035000.0
1.0275,7078000.0
1.0325,6881000.0
1.0375,6916000.0
1.0425,6809999.999999999
1.0475,6848000.0
1.0525,6607000.000000001
1.0575,6496000.000000001
1.0625,6419000.0
1.0675,6429000.0
1.0725,6380000.0
1.0775,6303000.0
1.0825,6205000.000000001
1.0875,6137000.0
1.0925,6117999.999999999
1.0975,5990000.0
1.1025,6082000.000000001
1.1075,6012999.999999999
1.1125,6025000.0
1.1175,5887000.0
1.1225,5788000.0
1.1275,5689999.999999999
1.1325,5661000.000000001
1.1375,5632999.999999999
1.1425,5574000.0
1.1475,5556000.0
1.1525,5447000.000000001
1.1575,5538999.999999999
1.1625,5400000.0
1.1675,5301000.0
1.1725,5333000.0
1.1775,5254000.0
1.1825,5145000.0
1.1875,5117000.0
1.1925,5113000.0
1.1975,5018000.0
1.2025,4963000.0
1.2075,4939000.0
1.2125,4894000.0
1.2175,5001000.0
1.2225,4814000.0
1.2275,4809000.0
1.2325,4835000.0
1.2375,4772000.0
1.2425,4771000.0
1.2475,4655000.0
1.2525,4737000.0
1.2575,4634000.0
1.2625,4438000.0
1.2675,4376000.0
1.2725,4386000.000000001
1.2775,4529000.0
1.2825,4354000.0
1.2875,4374000.0
1.2925,4425000.0
1.2975,4383000.0
1.3025,4381000.0
1.3075,4286000.0
1.3125,4190000.0
1.3175,4156000.0000000005
1.3225,4164000.0
1.3275,4110000.0000000005
1.3325,4045000.0000000005
1.3375,4001000.0
1.3425,3978000.0
1.3475,3945000.0
1.3525,3870000.0
1.3575,3817000.0
1.3625,3783000.0000000005
1.3675,3699000.0
1.3725,3686000.0
1.3775,3684000.0
1.3825,3640000.0
1.3875,3638000.0
1.3925,3584000.0
1.3975,3572000.0
1.4025,3528000.0
1.4075,3496000.0
1.4125,3463000.0
1.4175,3439999.9999999995
1.4225,3427000.0
1.4275,3474999.9999999995
1.4325,3372000.0
1.4375,3309000.0000000005
1.4425,3266000.0
1.4475,3184000.0
1.4525,3231000.0
1.4575,3068999.9999999995
1.4625,3166000.0000000005
1.4675,3113999.9999999995
1.4725,3111999.9999999995
1.4775,3068999.9999999995
1.4825,3027000.0000000005
1.4875,2985000.0
1.4925,3033000.0
1.4975,3000000.0
1.5025,2958000.0
1.5075,2946000.0000000005
1.5125,2904000.0
1.5175,2902000.0
1.5225,2860000.0000000005
1.5275,2897000.0
1.5325,2816000.0
1.5375,2745000.0
1.5425,2752000.0
1.5475,2739999.9999999995
1.5525,2728000.0
1.5575,2716000.0
1.5625,2695000.0
1.5675,2633000.0000000005
1.5725,2602000.0
1.5775,2590000.0
1.5825,2549000.0
1.5875,2517000.0
1.5925,2456000.0
1.5975,2464000.0
1.6025,2473000.0
1.6075,2424000.0
1.6125,2444000.0
1.6175,2434000.0
1.6225,2404000.0
1.6275,2443000.0
1.6325,2414000.0
1.6375,2375000.0
1.6425,2336000.0
1.6475,2345000.0
1.6525,2335000.0
1.6575,2335000.0
1.6625,2326000.0
1.6675,2286000.0
1.6725,2276000.0
1.6775,2198000.0
1.6825,2208000.0
1.6875,2188000.0
1.6925,2188000.0
1.6975,2139000.0
1.7025,2168000.0
1.7075,2119000.0
1.7125,2031000.0
1.7175,2119000.0
1.7225,2049999.9999999998
1.7275,1962000.0000000002
1.7325,1903000.0
1.7375,1893000.0
1.7425,1913000.0
