wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
4900.0,12.653,11.517,5.3035e+16,0.75638,0.42354,109.0
5000.0,11.847,10.814,4.9656e+16,0.75256,0.44818,108.0
5100.0,11.112,10.083,4.6578e+16,0.74899,0.47521,107.0
5200.0,10.437,9.3784,4.3747e+16,0.74536,0.503,107.0
5300.0,9.8119,8.6711,4.1128e+16,0.74181,0.53314,106.0
5400.0,9.2648,7.9601,3.8835e+16,0.7384,0.56556,105.0
5500.0,8.8005,7.2817,3.6888e+16,0.73493,0.59859,105.0
5600.0,8.4432,6.6362,3.5391e+16,0.73141,0.63172,104.0
5700.0,8.2118,6.0117,3.4421e+16,0.72789,0.66512,103.0
5800.0,8.2278,5.4791,3.4488e+16,0.72418,0.69371,103.0
5900.0,8.598,5.2177,3.604e+16,0.71965,0.70569,102.0
6000.0,8.8666,5.2139,3.7165e+16,0.71397,0.70404,102.0
6100.0,9.1006,5.2764,3.8146e+16,0.70802,0.69914,101.0
6200.0,9.1318,5.3722,3.8277e+16,0.70178,0.69388,101.0
6300.0,8.9932,5.4336,3.7696e+16,0.69548,0.69181,101.0
6400.0,8.6805,5.3913,3.6385e+16,0.6893,0.697,101.0
6500.0,8.268,5.2291,3.4656e+16,0.68335,0.71004,101.0
6600.0,7.9683,5.0004,3.34e+16,0.67772,0.72672,101.0
6700.0,7.8087,4.816,3.2731e+16,0.6721,0.74021,100.0
6800.0,7.659,4.6869,3.2103e+16,0.66632,0.75042,100.0
6900.0,7.4626,4.5749,3.128e+16,0.66041,0.75979,100.0
7000.0,7.2389,4.4476,3.0343e+16,0.65449,0.77017,100.0
7100.0,7.0372,4.3085,2.9497e+16,0.64859,0.78116,100.0
7200.0,6.8348,4.1818,2.8649e+16,0.64264,0.79132,100.0
7300.0,6.6144,4.0528,2.7725e+16,0.63664,0.80156,100.0
7400.0,6.3845,3.9081,2.6761e+16,0.63062,0.81262,100.0
7500.0,6.1943,3.7639,2.5964e+16,0.62461,0.82339,100.0
7600.0,6.0378,3.6363,2.5308e+16,0.61858,0.83303,99.0
7700.0,5.8849,3.5284,2.4667e+16,0.61253,0.84135,99.0
7800.0,5.69,3.4341,2.385e+16,0.6064,0.84882,99.0
