wavelength (nm),Irradiance (watts/cm^2/nm)
5215.0,0.0029460000000000003
5225.0,0.002926
5235.0,0.0028959999999999997
5245.0,0.002886
5255.0,0.002856
5265.0,0.002836
5275.0,0.002816
5285.0,0.002796
5295.0,0.002786
5305.0,0.0027660000000000002
5315.0,0.002736
5325.0,0.002716
5335.0,0.002696
5345.0,0.002676
5355.0,0.002666
5365.0,0.002646
5375.0,0.002626
5385.0,0.002606
5395.0,0.0025859999999999998
5405.0,0.002556
5415.0,0.0025459999999999997
5425.0,0.0025259999999999996
5435.0,0.002506
5445.0,0.002497
5455.0,0.002477
5465.0,0.002457
5475.0,0.002437
5485.0,0.002427
5495.0,0.002407
5505.0,0.002387
5515.0,0.002367
5525.0,0.002347
5535.0,0.002337
5545.0,0.002317
5555.0,0.002307
5565.0,0.002297
5575.0,0.002277
5585.0,0.002267
5595.0,0.0022370000000000003
5605.0,0.0022170000000000002
5615.0,0.0022069999999999998
5625.0,0.0021869999999999997
5635.0,0.0021869999999999997
5645.0,0.0021669999999999997
5655.0,0.002157
5665.0,0.002137
5675.0,0.002127
5685.0,0.0021070000000000004
5695.0,0.002097
5705.0,0.0020670000000000003
5715.0,0.0020670000000000003
5725.0,0.002047
5735.0,0.0020369999999999997
5745.0,0.0020169999999999997
5755.0,0.002007
5765.0,0.001997
5775.0,0.001977
5785.0,0.001967
5795.0,0.001957
5805.0,0.0019470000000000002
5815.0,0.0019370000000000001
5825.0,0.0019270000000000001
5835.0,0.001897
5845.0,0.001887
5855.0,0.001877
5865.0,0.001857
5875.0,0.001847
5885.0,0.0018369999999999999
5895.0,0.0018369999999999999
5905.0,0.001817
5915.0,0.001807
5925.0,0.001797
5935.0,0.001787
5945.0,0.001778
5955.0,0.001758
5965.0,0.001748
5975.0,0.001728
5985.0,0.001718
5995.0,0.0017079999999999999
6005.0,0.0017079999999999999
6015.0,0.001688
6025.0,0.001678
6035.0,0.001668
6045.0,0.001658
6055.0,0.001648
6065.0,0.001638
6075.0,0.0016279999999999999
6085.0,0.001618
6095.0,0.001608
6105.0,0.001598
6115.0,0.001598
6125.0,0.001588
6135.0,0.001578
6145.0,0.0015580000000000001
6155.0,0.0015480000000000001
6165.0,0.001538
6175.0,0.001528
6185.0,0.001518
6195.0,0.001508
6205.0,0.001498
