Wavelengths (microns),C_extinction,C_scattering,kappa,g
23.4,0.8128,0.07835,3407000000000000.0,0.1368
23.5,0.8089,0.0779,3391000000000000.0,0.1361
23.6,0.8049,0.07747,3374000000000000.0,0.1353
23.7,0.8009,0.07704,3357000000000000.0,0.1346
23.8,0.7968,0.07663,3340000000000000.0,0.1339
23.9,0.7923,0.07627,3321000000000000.0,0.1332
24.0,0.7873,0.07594,3300000000000000.0,0.1326
24.1,0.7819,0.07559,3277000000000000.0,0.132
24.2,0.7761,0.07522,3253000000000000.0,0.1315
24.3,0.7699,0.07484,3227000000000000.0,0.131
24.4,0.7634,0.07445,3200000000000000.0,0.1305
24.5,0.7566,0.07404,3171000000000000.0,0.13
24.6,0.7493,0.07362,3141000000000000.0,0.1296
24.7,0.7418,0.0732,3109000000000000.0,0.1292
24.8,0.7339,0.07276,3076000000000000.0,0.1288
24.9,0.7257,0.07231,3042000000000000.0,0.1284
25.0,0.7172,0.07186,3006000000000000.0,0.1281
25.1,0.7054,0.07103,2957000000000000.0,0.1278
25.2,0.6913,0.06993,2898000000000000.0,0.1275
25.3,0.6765,0.06876,2836000000000000.0,0.1272
25.4,0.6614,0.06758,2772000000000000.0,0.1269
25.5,0.6458,0.06635,2707000000000000.0,0.1266
25.6,0.6297,0.06508,2640000000000000.0,0.1262
25.7,0.6192,0.06401,2596000000000000.0,0.1256
25.8,0.6129,0.06306,2569000000000000.0,0.1249
25.9,0.607,0.06213,2544000000000000.0,0.1241
26.0,0.6014,0.0612,2521000000000000.0,0.1233
26.1,0.5961,0.06028,2499000000000000.0,0.1225
26.2,0.5912,0.05937,2478000000000000.0,0.1217
26.3,0.5865,0.05846,2458000000000000.0,0.1208
26.4,0.5787,0.05748,2426000000000000.0,0.1201
26.5,0.5705,0.05652,2392000000000000.0,0.1195
26.6,0.5626,0.05556,2358000000000000.0,0.1188
26.7,0.5547,0.05462,2325000000000000.0,0.1181
26.8,0.5471,0.05368,2293000000000000.0,0.1174
26.9,0.5396,0.05275,2262000000000000.0,0.1167
27.0,0.5323,0.05183,2231000000000000.0,0.1159
27.1,0.5264,0.05091,2207000000000000.0,0.1151
27.2,0.5215,0.05,2186000000000000.0,0.1143
27.3,0.517,0.04913,2167000000000000.0,0.1134
27.4,0.5127,0.04827,2149000000000000.0,0.1125
27.5,0.5088,0.04742,2133000000000000.0,0.1117
27.6,0.5053,0.04659,2118000000000000.0,0.1108
27.7,0.5021,0.04579,2105000000000000.0,0.11
27.8,0.4992,0.045,2093000000000000.0,0.1091
27.9,0.4964,0.04425,2081000000000000.0,0.1082
28.0,0.4938,0.04352,2070000000000000.0,0.1074
28.1,0.4914,0.04282,2060000000000000.0,0.1065
28.2,0.4894,0.04215,2051000000000000.0,0.1057
28.3,0.4875,0.0415,2043000000000000.0,0.1049
28.4,0.4858,0.04087,2036000000000000.0,0.104
28.5,0.4843,0.04026,2030000000000000.0,0.1032
28.6,0.4832,0.03968,2025000000000000.0,0.1024
28.7,0.4824,0.03915,2022000000000000.0,0.1017
28.8,0.4817,0.03863,2019000000000000.0,0.1009
28.9,0.4812,0.03813,2017000000000000.0,0.1001
29.0,0.4807,0.03765,2015000000000000.0,0.09937
30.0,0.4776,0.03372,2002000000000000.0,0.09257
31.0,0.4733,0.03066,1984000000000000.0,0.08675
32.0,0.4714,0.02825,1976000000000000.0,0.08159
33.0,0.4703,0.02637,1971000000000000.0,0.07705
34.0,0.4702,0.02503,1971000000000000.0,0.07314
35.0,0.467,0.02416,1957000000000000.0,0.06997
36.0,0.4547,0.02351,1906000000000000.0,0.06768
37.0,0.4306,0.02274,1805000000000000.0,0.06618
38.0,0.392,0.02148,1643000000000000.0,0.06525
39.0,0.3539,0.0201,1483000000000000.0,0.06432
40.0,0.3174,0.01869,1330000000000000.0,0.06336
41.0,0.2775,0.01727,1163000000000000.0,0.06261
42.0,0.2364,0.01574,990900000000000.0,0.06154
43.0,0.1966,0.01415,824000000000000.0,0.05994
44.0,0.1636,0.01265,685700000000000.0,0.05771
45.0,0.1377,0.01129,577300000000000.0,0.05514
46.0,0.1171,0.01006,490700000000000.0,0.05246
47.0,0.1004,0.008992,420700000000000.0,0.04986
48.0,0.08681,0.00806,363900000000000.0,0.04737
49.0,0.07578,0.00725,317700000000000.0,0.04507
50.0,0.06735,0.006541,282300000000000.0,0.04291
